Name,Height (cm),Grade,Gender,Resident Number,Weight (kg)
Student_1,163.78428272433754,11,Female,990124-2356661,47.90268540772311
Student_2,169.77942158427817,9,Female,800614-2368102,63.56263883259496
Student_3,150.17290543111514,7,Female,950221-1633469,88.88598506158525
Student_4,174.45361825014118,9,Female,821128-2726472,51.50188007512817
Student_5,187.40887406200653,9,Female,950319-1954823,78.60801490759228
Student_6,157.6006323949437,2,Female,851219-1815670,55.74094048033585
Student_7,162.03811520091628,3,Female,890524-2469991,60.78181987675599
Student_8,154.69381523842168,7,Male,940518-1279038,60.728599612723315
Student_9,160.07471126777278,3,Female,941012-2673658,58.75336671020543
Student_10,172.0102241984137,3,Female,850103-2361020,53.102045061063905
Student_11,168.88925574248054,11,Male,821028-2617989,84.09038688483665
Student_12,166.37924514385512,12,Female,870726-1419643,66.33841842336102
Student_13,162.60445753135286,10,Female,960828-1813633,49.28309454863431
Student_14,178.87674185102946,1,Male,920910-2473901,69.79360958667178
Student_15,169.2536212294155,7,Female,961017-2221435,70.03514779048884
Student_16,167.7375756607563,7,Male,860117-2487130,61.71289618286252
Student_17,184.30884531780455,3,Male,921020-1619298,47.16852859852415
Student_18,189.901475148818,11,Female,871110-1945322,78.8321718415064
Student_19,161.83641830244977,6,Female,890724-1850966,85.40876925029275
Student_20,154.13268453895162,4,Female,921215-2469458,79.91877520085767
Student_21,166.78332456737405,8,Male,870419-1349270,51.31108456909982
Student_22,177.29031416025867,10,Male,880228-1307641,53.00174284406206
Student_23,185.8597085106291,5,Female,911108-2995641,77.35384198194748
Student_24,155.46978358865445,10,Male,930910-1521406,59.60295788149536
Student_25,185.63070434512457,7,Male,990519-1915458,57.64644844737699
Student_26,188.9697035107809,8,Male,810302-1768602,79.01842154651044
Student_27,151.32973608203065,7,Female,960127-2350028,52.23174638347102
Student_28,181.7849096004384,12,Female,960808-1806044,72.71705263655868
Student_29,184.67003907278013,10,Female,900904-2640106,74.20622608737114
Student_30,180.03758722053988,11,Male,930917-2474519,51.94724650826764
Student_31,170.82343802699162,1,Female,850821-1272588,48.407517147889074
Student_32,182.97506313012633,2,Female,830502-1703580,47.20723980849705
Student_33,181.49806580114972,5,Female,980704-2777555,63.19614294283862
Student_34,155.9346759509844,1,Male,940622-2221522,56.2100273773156
Student_35,166.81847613759655,12,Female,970114-2615223,47.78704781430724
Student_36,154.5391114176346,8,Male,810308-1640189,66.92243806670898
Student_37,150.9998714495187,6,Male,910222-1630054,46.72565869384295
Student_38,157.70615587625284,7,Female,971102-1801379,62.36354575630351
Student_39,187.0296686313307,10,Female,800710-2949774,66.80927535059755
Student_40,158.09310474967472,1,Male,941007-1137392,65.80841734423265
Student_41,152.9321838038682,8,Male,910413-2718621,50.66268469336094
Student_42,182.47166327659204,10,Male,891005-2018278,87.28066632286118
Student_43,169.4574761258512,12,Male,860807-1679989,75.01775922794037
Student_44,187.24710994209707,6,Female,981211-2138516,50.31593580298522
Student_45,153.04873300943282,8,Male,850314-1657596,56.01972001932103
Student_46,152.5253000887937,1,Female,950322-2713450,78.08640655144673
Student_47,177.14151257803067,2,Male,961008-1922536,74.78079460052014
Student_48,179.46102189879372,4,Male,991126-2406693,73.17973176120724
